# dates,infections,hospitalizations,deaths,mean_r_t
2021-03-19,200243.76722409544,78656.0,1086.3029022937005,0.8491607172728162
2021-03-20,193822.87648467958,76255.0,1058.4136167574184,0.8489810791358335
2021-03-21,187603.9586955624,73916.0,1030.9878820691436,0.8488288522572764
2021-03-22,181581.90687743627,71639.0,1004.0343306144254,0.848703771673802
2021-03-23,175751.6576867984,69424.0,977.5604529613444,0.8486055982326852
2021-03-24,170108.19549138247,67268.0,951.5726329492256,0.8485341163758915
2021-03-25,164646.5527419133,65172.0,926.076187764569,0.848489125690637
2021-03-26,159361.81362311164,63134.0,901.0754146709199,0.8484704357071907
2021-03-27,154249.12260577513,61154.0,876.5736330390029,0.8484778683119986
2021-03-28,149303.69270334564,59230.0,852.57322264334,0.8485112618279461
2021-03-29,144520.81047820026,57361.0,829.0756642124336,0.8485704721607085
2021-03-30,139895.8384650144,55547.0,806.0815820780263,0.8486553709060989
2021-03-31,135424.21718312852,53787.0,783.5907940686476,0.8487658429316979
2021-04-01,131101.4681594543,52078.0,761.602357422091,0.8489017856998597
2021-04-02,126923.19732496397,50421.0,740.1146082857504,0.8490631098721969
2021-04-03,122885.09768080742,48814.0,719.1252021284733,0.8492497396996369
2021-04-04,118982.9509016894,47255.0,698.6311545374058,0.849461612490719
2021-04-05,115212.62828828148,45745.0,678.6288941916786,0.84969867750857
2021-04-06,111570.09162853763,44281.0,659.1143095980947,0.8499608950536651
2021-04-07,108051.39408210792,42863.0,640.0827845200138,0.8502482359705106
2021-04-08,104652.68086200418,41489.0,621.5292354380092,0.8505606812866445
2021-04-09,101370.18952479187,40159.0,603.4481491450908,0.8508982216594311
2021-04-10,98200.24988833687,38870.0,585.8336231191306,0.8512608565765128
2021-04-11,95139.28372959301,37623.0,568.6794039271629,0.8516485934847654
2021-04-12,92183.80436798875,36416.0,551.9789210433136,0.8520614469934663
2021-04-13,89330.41613088895,35248.0,535.7253185513175,0.8524994381411545
2021-04-14,86575.8136545702,34118.0,519.9114857844868,0.8529625936342172
2021-04-15,83916.78100564517,33025.0,504.530087935688,0.853450945000268
2021-04-16,81350.1906556058,31968.0,489.5735958118714,0.8539645276759404
2021-04-17,78873.0023523399,30945.0,475.034313265287,0.8545033800768551
2021-04-18,76482.26191056645,29957.0,460.90440255156307,0.8550675426690983
2021-04-19,74175.0999217758,29001.0,447.1759081492016,0.8556570570267905
2021-04-20,71948.73038171769,28077.0,433.8407797892746,0.8562719648537915
2021-04-21,69800.4492438293,27184.0,420.8908946056011,0.856912306964929
2021-04-22,67727.63291458374,26321.0,408.31807784665347,0.8575781222377179
2021-04-23,65727.73660118198,25487.0,396.11412208107487,0.8582694451909935
2021-04-24,63798.292960779516,24681.0,384.2708048583406,0.8589863078398946
2021-04-25,61936.91033445644,23903.0,372.7799049521985,0.8597287368378597
2021-04-26,60141.271108295,23151.0,361.63321776941086,0.8604967523705448
2021-04-27,58409.13003886543,22425.0,350.82256988570236,0.8612903668875749
2021-04-28,56738.31258113554,21724.0,340.33983239637803,0.8621095839570464
2021-04-29,55126.713256697054,21046.0,330.17693304017297,0.8629543976061952
2021-04-30,53572.293949553474,20392.0,320.3258669697792,0.8638247910094036
2021-05-01,52073.082198372744,19761.0,310.7787067154269,0.8647207350811191
2021-05-02,50627.16951495836,19151.0,301.5276115234221,0.8656421872578203
2021-05-03,49232.70970820657,18563.0,292.5648358135706,0.8665890902231137
2021-05-04,47887.91724196968,17995.0,283.8827367153077,0.8675613708630114
2021-05-05,46591.0655910935,17447.0,275.47378022277644,0.8685589391009877
2021-05-06,45340.4856061022,16918.0,267.33054677413816,0.8695816866621073
2021-05-07,44134.563899471934,16407.0,259.4457365724484,0.8706294858573632
2021-05-08,42971.74125567223,15914.0,251.81217421235743,0.871702188397871
2021-05-09,41850.51107068136,15439.0,244.42281256143082,0.8727996242902615
2021-05-10,40769.41781497808,14980.0,237.27073588013977,0.8739216007619567
2021-05-11,39727.05551843884,14537.0,230.34916240985726,0.8750679011900224
2021-05-12,38722.066281439555,14110.0,223.65144659404342,0.8762382840602678
2021-05-13,37753.13881440747,13698.0,217.17108088085018,0.8774324819713242
2021-05-14,36819.007008270186,13301.0,210.90169707194278,0.8786502007070319
2021-05-15,35918.448535056086,12917.0,204.83706720930442,0.8798911183759849
2021-05-16,35050.28347762,12547.0,198.97110406478464,0.8811548846119909
2021-05-17,34213.372989048716,12190.0,193.2978613186957,0.8824411198412044
2021-05-18,33406.617982608324,11846.0,187.81153345637568,0.8837494146257643
2021-05-19,32628.957853095635,11514.0,182.50645538694926,0.885079329096408
2021-05-20,31879.369229663676,11194.0,177.37710178494314,0.886430392481999
2021-05-21,31156.864759669465,10885.0,172.4180861802721,0.8878021027396202
2021-05-22,30460.49192331072,10588.0,167.62415983476788,0.8891939262901366
2021-05-23,29789.331879023575,10301.0,162.990210434172,0.8906052978657136
2021-05-24,29142.498339690228,10024.0,158.5112606140345,0.8920356204767823
2021-05-25,28519.13647951973,9757.0,154.1824663245708,0.8934842655047027
2021-05-26,27918.421871219078,9499.0,149.9991150521516,0.8949505729239023
2021-05-27,27339.55945299726,9251.0,145.95662391620684,0.8964338516555541
2021-05-28,26781.782524962615,9011.0,142.05053766011838,0.8979333800537139
2021-05-29,26244.35177450163,8781.0,138.27652655059768,0.8994484065240865
2021-05-30,25726.55433020712,8558.0,134.63038419540084,0.9009781502750464
2021-05-31,25227.7028438742,8344.0,131.1080252901922,0.9025218022003678
2021-06-01,24747.134600067107,8137.0,127.70548330616009,0.9040785258935952
2021-06-02,24284.21065277077,7937.0,124.41890812954506,0.9056474587944766
2021-06-03,23838.314988648064,7745.0,121.24456366325282,0.907227713467603
